b0_m,l_b0,shape_func,energy_density_Jm3,radial_pressure_Pa,transverse_tension_Pa,energy_violation
0.5,-8.5,0.0584206237836986,-3.5898967809786375e+39,-3.5898967809786375e+39,3.5898967809786375e+39,0.0
0.5,-8.4,0.05910644489255617,-3.761460936143227e+39,-3.761460936143227e+39,3.761460936143227e+39,0.0
0.5,-8.3,0.05980844128924556,-3.943366464430141e+39,-3.943366464430141e+39,3.943366464430141e+39,0.0
0.5,-8.2,0.060527187655519885,-4.136368130687656e+39,-4.136368130687656e+39,4.136368130687656e+39,0.0
0.5,-8.1,0.06126328600132325,-4.3412855469011047e+39,-4.3412855469011047e+39,4.3412855469011047e+39,0.0
0.5,-8.0,0.062017367294604234,-4.559009596896969e+39,-4.559009596896969e+39,4.559009596896969e+39,0.0
0.5,-7.9,0.06279009320806955,-4.790509583558096e+39,-4.790509583558096e+39,4.790509583558096e+39,0.0
0.5,-7.8,0.06358215799268273,-5.036841189635173e+39,-5.036841189635173e+39,5.036841189635173e+39,0.0
0.5,-7.7,0.06439429048865206,-5.299155355982241e+39,-5.299155355982241e+39,5.299155355982241e+39,0.0
0.5,-7.6,0.06522725628569366,-5.578708195748698e+39,-5.578708195748698e+39,5.578708195748698e+39,0.0
0.5,-7.5,0.06608186004550898,-5.876872080056351e+39,-5.876872080056351e+39,5.876872080056351e+39,0.0
0.5,-7.4,0.06695894800069752,-6.19514805036859e+39,-6.19514805036859e+39,6.19514805036859e+39,0.0
0.5,-7.3,0.0678594106457493,-6.535179735581453e+39,-6.535179735581453e+39,6.535179735581453e+39,0.0
0.5,-7.2,0.06878418563734386,-6.898768978382775e+39,-6.898768978382775e+39,6.898768978382775e+39,0.0
0.5,-7.1,0.06973426092294632,-7.287893406288773e+39,-7.287893406288773e+39,7.287893406288773e+39,0.0
0.5,-7.0,0.07071067811865475,-7.704726218755877e+39,-7.704726218755877e+39,7.704726218755877e+39,0.0
0.5,-6.9,0.07171453615944604,-8.151658503809606e+39,-8.151658503809606e+39,8.151658503809606e+39,0.0
0.5,-6.8,0.07274699524741568,-8.631324446845058e+39,-8.631324446845058e+39,8.631324446845058e+39,0.0
0.5,-6.7,0.07380928112634538,-9.146629851970901e+39,-9.146629851970901e+39,9.146629851970901e+39,0.0
0.5,-6.6,0.07490268971399748,-9.700784464096629e+39,-9.700784464096629e+39,9.700784464096629e+39,0.0
